name,class,shortname,datatype,referenceTermRelationship,referenceTermSource,referenceTermCode,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15
Farmer,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Trader,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Miner,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Student,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Health worker,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Commercial bike rider,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Driver,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Teacher,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Police,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Military,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Housewife,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Pensioneer,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Other,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Occupation,Misc,,Coded,,,,,Farmer,Trader,Miner,Student,Health worker,Commercial bike rider,Driver,Teacher,Police,Military,Housewife,Pensioneer,Other,,
TB Program,Misc,,N/A,,,,,,,,,,,,,,,,,,,
TB Program Workflow,Misc,,N/A,,,,,,,,,,,,,,,,,,,
HIV Program,Misc,,N/A,,,,,,,,,,,,,,,,,,,
HIV Program Workflow,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Epilepsy Program,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Epilepsy Program Worfklow,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Malnutrition Program,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Malnutrition Program Workflow,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Transfer out state,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Enrolled state,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Died state,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Cured/discharged state,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Treatment stopped state,Misc,,N/A,,,,,,,,,,,,,,,,,,,
HIV Program Outcome,Misc,,Coded,,,,,Transfer out state,Died state,Treatment stopped state,,,,,,,,,,,,
TB Program Outcome,Misc,,Coded,,,,,Transfer out state,Died state,Cured/discharged state,Treatment stopped state,,,,,,,,,,,
Epilepsy Program Outcome,Misc,,Coded,,,,,Transfer out state,Died state,Cured/discharged state,Treatment stopped state,,,,,,,,,,,
Malnutrition Program Outcome,Misc,,Coded,,,,,Transfer out state,Died state,Cured/discharged state,Treatment stopped state,,,,,,,,,,,
A - Amputee,Misc,,N/A,,,,,,,,,,,,,,,,,,,
AD - Amptuee dependents,Misc,,N/A,,,,,,,,,,,,,,,,,,,
C5 - Children (0-59 months),Misc,,N/A,,,,,,,,,,,,,,,,,,,
C5+ - Children (5-16 years),Misc,,N/A,,,,,,,,,,,,,,,,,,,
EP - Epilepsy,Misc,,N/A,,,,,,,,,,,,,,,,,,,
H - HIV patients,Misc,,N/A,,,,,,,,,,,,,,,,,,,
HD - HIV dependents,Misc,,N/A,,,,,,,,,,,,,,,,,,,
LM - Lactating mothers,Misc,,N/A,,,,,,,,,,,,,,,,,,,
MH - Mental health,Misc,,N/A,,,,,,,,,,,,,,,,,,,
O - Others,Misc,,N/A,,,,,,,,,,,,,,,,,,,
PW - Pregnant women,Misc,,N/A,,,,,,,,,,,,,,,,,,,
S - Staff,Misc,,N/A,,,,,,,,,,,,,,,,,,,
SD - Staff dependents,Misc,,N/A,,,,,,,,,,,,,,,,,,,
TB - Tuberculosis,Misc,,N/A,,,,,,,,,,,,,,,,,,,
V - Vulnerable,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Patient category,Misc,,Coded,,,,,A - Amputee,AD - Amptuee dependents,C5 - Children (0-59 months),C5+ - Children (5-16 years),EP - Epilepsy,H - HIV patients,HD - HIV dependents,LM - Lactating mothers,MH - Mental health,O - Others,PW - Pregnant women,S - Staff,SD - Staff dependents,TB - Tuberculosis,V - Vulnerable
ANC,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Circumcision,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Dental,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Epilepsy,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Family Planning,Misc,,N/A,,,,,,,,,,,,,,,,,,,
HIV,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Immunization,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Malnutrition,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Maternity/Delivery,Misc,,N/A,,,,,,,,,,,,,,,,,,,
OPD,Misc,,N/A,,,,,,,,,,,,,,,,,,,
TB,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Type of visit,Misc,,Coded,,,,,ANC,Circumcision,Dental,Epilepsy,Family Planning,HIV,Immunization,Malnutrition,Maternity/Delivery,OPD,TB,,,,
Chief complaints,Misc,,Text,,,,,,,,,,,,,,,,,,,
10.000 Le,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Free,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Payment type,Misc,,Coded,,,,,10.000 Le,Free,,,,,,,,,,,,,
Payment received,Misc,,Coded,,,,,Yes,No,,,,,,,,,,,,,
A - (Consciousness),Misc,,N/A,,,,,,,,,,,,,,,,,,,
C - (Consciousness),Misc,,N/A,,,,,,,,,,,,,,,,,,,
V - (Consciousness),Misc,,N/A,,,,,,,,,,,,,,,,,,,
P - (Consciousness),Misc,,N/A,,,,,,,,,,,,,,,,,,,
U - (Consciousness),Misc,,N/A,,,,,,,,,,,,,,,,,,,
Level of Consciousness,Misc,,Coded,,,,,A - (Consciousness),C - (Consciousness),V - (Consciousness),P - (Consciousness),U -  (Consciousness),,,,,,,,,,
Walks alone,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Needs assistance,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Stretcher,Misc,,N/A,,,,,,,,,,,,,,,,,,,
Mobility,Misc,,Coded,,,,,Walks alone,Needs assistance,Stretcher,,,,,,,,,,,,
Primary Diagnosis,Misc,,Text,,,,,,,,,,,,,,,,,,,
Secondary Diagnosis,Misc,,Text,,,,,,,,,,,,,,,,,,,
